fileobject_id,tag,text,attrib,new_file,file_offset,fs_offset,img_offset,len,type,changed_file,deleted_file,changed_property,modified_file,uncompressed_len,fill
0,fileobject,,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}new_file': '1'},1,,,,,,,,,,,
0,parent_object,,{},,,,,,,,,,,,
0,inode,4366,{},,,,,,,,,,,,
0,filename,Windows/System32/spp/store/2.0/data.dat,{},,,,,,,,,,,,
0,partition,1,{},,,,,,,,,,,,
0,id,42175,{},,,,,,,,,,,,
0,name_type,-,{},,,,,,,,,,,,
0,filesize,6208,{},,,,,,,,,,,,
0,alloc,0,{},,,,,,,,,,,,
0,used,1,{},,,,,,,,,,,,
0,inode,95392,{},,,,,,,,,,,,
0,meta_type,1,{},,,,,,,,,,,,
0,mode,365,{},,,,,,,,,,,,
0,nlink,1,{},,,,,,,,,,,,
0,uid,0,{},,,,,,,,,,,,
0,gid,0,{},,,,,,,,,,,,
0,mtime,2021-06-06T20:07:19Z,{},,,,,,,,,,,,
0,ctime,2021-06-06T20:07:21Z,{},,,,,,,,,,,,
0,atime,2021-06-06T20:07:19Z,{},,,,,,,,,,,,
0,crtime,2021-06-06T20:07:19Z,{},,,,,,,,,,,,
0,seq,7,{},,,,,,,,,,,,
0,byte_runs,,{},,,,,,,,,,,,
0,byte_run,,"{'fs_offset': '526270464', 'len': '6208', 'img_offset': '527319040', 'file_offset': '0'}",,0,526270464,527319040,6208,,,,,,,
0,hashdigest,39708a9883e196de5011243eef13c923,{'type': 'md5'},,,,,,md5,,,,,,
0,hashdigest,9b3e16d460d4c324bf82853216961a0c7a705c52,{'type': 'sha1'},,,,,,sha1,,,,,,
1,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
1,parent_object,,{},,,,,,,,,,,,
1,inode,92206,{},,,,,,,,,,,,
1,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IX5PKX5.txt,{},,,,,,,,,,,,
1,partition,1,{},,,,,,,,,,,,
1,id,39,{},,,,,,,,,,,,
1,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
1,filesize,94,{},,,,,,,,,,,,
1,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
1,used,1,{},,,,,,,,,,,,
1,inode,89297,{},,,,,,,,,,,,
1,meta_type,1,{},,,,,,,,,,,,
1,mode,511,{},,,,,,,,,,,,
1,nlink,1,{},,,,,,,,,,,,
1,uid,0,{},,,,,,,,,,,,
1,gid,0,{},,,,,,,,,,,,
1,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,seq,5,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
1,byte_runs,,{},,,,,,,,,,,,
1,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
1,hashdigest,a38eb597b3888279dc4c8fcaae29b0d9,{'type': 'md5'},,,,,,md5,,,,,,
1,hashdigest,529f7bf55f4c6cf28baa951700a00bb0b6960843,{'type': 'sha1'},,,,,,sha1,,,,,,
1,original_fileobject,,{},,,,,,,,,,,,
1,parent_object,,{},,,,,,,,,,,,
1,inode,92206,{},,,,,,,,,,,,
1,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IX5PKX5.txt,{},,,,,,,,,,,,
1,partition,1,{},,,,,,,,,,,,
1,id,49,{},,,,,,,,,,,,
1,name_type,r,{},,,,,,,,,,,,
1,filesize,94,{},,,,,,,,,,,,
1,alloc,1,{},,,,,,,,,,,,
1,used,1,{},,,,,,,,,,,,
1,inode,89297,{},,,,,,,,,,,,
1,meta_type,1,{},,,,,,,,,,,,
1,mode,511,{},,,,,,,,,,,,
1,nlink,1,{},,,,,,,,,,,,
1,uid,0,{},,,,,,,,,,,,
1,gid,0,{},,,,,,,,,,,,
1,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
1,seq,4,{},,,,,,,,,,,,
1,byte_runs,,{},,,,,,,,,,,,
1,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
1,hashdigest,a38eb597b3888279dc4c8fcaae29b0d9,{'type': 'md5'},,,,,,md5,,,,,,
1,hashdigest,529f7bf55f4c6cf28baa951700a00bb0b6960843,{'type': 'sha1'},,,,,,sha1,,,,,,
2,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
2,parent_object,,{},,,,,,,,,,,,
2,inode,92206,{},,,,,,,,,,,,
2,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$I5L1KUD.txt,{},,,,,,,,,,,,
2,partition,1,{},,,,,,,,,,,,
2,id,40,{},,,,,,,,,,,,
2,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
2,filesize,96,{},,,,,,,,,,,,
2,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
2,used,1,{},,,,,,,,,,,,
2,inode,89387,{},,,,,,,,,,,,
2,meta_type,1,{},,,,,,,,,,,,
2,mode,511,{},,,,,,,,,,,,
2,nlink,1,{},,,,,,,,,,,,
2,uid,0,{},,,,,,,,,,,,
2,gid,0,{},,,,,,,,,,,,
2,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,seq,4,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
2,byte_runs,,{},,,,,,,,,,,,
2,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '96', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,96,resident,,,,,,
2,hashdigest,2f79145fd24800d20f390db9382eaef2,{'type': 'md5'},,,,,,md5,,,,,,
2,hashdigest,2b9f92dedb738f78a7515ce57a4d4508d5462677,{'type': 'sha1'},,,,,,sha1,,,,,,
2,original_fileobject,,{},,,,,,,,,,,,
2,parent_object,,{},,,,,,,,,,,,
2,inode,92206,{},,,,,,,,,,,,
2,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$I5L1KUD.txt,{},,,,,,,,,,,,
2,partition,1,{},,,,,,,,,,,,
2,id,40,{},,,,,,,,,,,,
2,name_type,r,{},,,,,,,,,,,,
2,filesize,96,{},,,,,,,,,,,,
2,alloc,1,{},,,,,,,,,,,,
2,used,1,{},,,,,,,,,,,,
2,inode,89387,{},,,,,,,,,,,,
2,meta_type,1,{},,,,,,,,,,,,
2,mode,511,{},,,,,,,,,,,,
2,nlink,1,{},,,,,,,,,,,,
2,uid,0,{},,,,,,,,,,,,
2,gid,0,{},,,,,,,,,,,,
2,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
2,seq,3,{},,,,,,,,,,,,
2,byte_runs,,{},,,,,,,,,,,,
2,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '96', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,96,resident,,,,,,
2,hashdigest,2f79145fd24800d20f390db9382eaef2,{'type': 'md5'},,,,,,md5,,,,,,
2,hashdigest,2b9f92dedb738f78a7515ce57a4d4508d5462677,{'type': 'sha1'},,,,,,sha1,,,,,,
3,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
3,parent_object,,{},,,,,,,,,,,,
3,inode,92206,{},,,,,,,,,,,,
3,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IXJIE4A.JPG,{},,,,,,,,,,,,
3,partition,1,{},,,,,,,,,,,,
3,id,41,{},,,,,,,,,,,,
3,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
3,filesize,94,{},,,,,,,,,,,,
3,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
3,used,1,{},,,,,,,,,,,,
3,inode,89388,{},,,,,,,,,,,,
3,meta_type,1,{},,,,,,,,,,,,
3,mode,511,{},,,,,,,,,,,,
3,nlink,1,{},,,,,,,,,,,,
3,uid,0,{},,,,,,,,,,,,
3,gid,0,{},,,,,,,,,,,,
3,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
3,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
3,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
3,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
3,seq,3,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
3,byte_runs,,{},,,,,,,,,,,,
3,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
3,hashdigest,3881e8056b3b5283b0b4615fe1a09212,{'type': 'md5'},,,,,,md5,,,,,,
3,hashdigest,8f9cd5898dca98ae658332c63abbc310a50ee49d,{'type': 'sha1'},,,,,,sha1,,,,,,
3,original_fileobject,,{},,,,,,,,,,,,
3,parent_object,,{},,,,,,,,,,,,
3,inode,92206,{},,,,,,,,,,,,
3,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IXJIE4A.JPG,{},,,,,,,,,,,,
3,partition,1,{},,,,,,,,,,,,
